   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
MariaDB Server                        MariaDB.Server                      10.4.13
Mark Text                             MarkText.MarkText                   0.16.2
Master Packager                       MasterPackager.MasterPackager       20.2.7457.0
MathpixSnippingTool                   Mathpix.MathpixSnippingTool         02.04.0005
Mattermost Desktop                    Mattermost.MattermostDesktop        4.5.0
Maxima                                MaximaTeam.Maxima                   5.43.2
Maxthon 5 Cloud Browser               Maxthon.Maxthon5                    5.3.8.2000
MediaInfo                             MediaArea.MediaInfo                 20.03
MediaInfo-GUI                         MediaArea.MediaInfo-GUI             20.03
MEGASync                              Mega.MEGASync                       4.3.3.0
Tweeten                               MehediHassan.Tweeten                5.0.3
Meld                                  Meld.Meld                           3.20.2
Shotcut                               Meltytech.Shotcut                   20.04.12
MemuraiDeveloper                      Memurai.MemuraiDeveloper            2.0.1
Accessibility Insights for Windows    Microsoft.AccessibilityInsightsW... 1.1.1248.1
AppInstallerFileBuilder               Microsoft.AppInstallerFileBuilder   1.2020.211.0
Azure CLI                             Microsoft.AzureCLI                  2.8.0
Azure Cosmos Emulator                 Microsoft.AzureCosmosEmulator       2.11.1
Azure Data Studio                     Microsoft.AzureDataStudio           1.19.0
Azure Functions Core Tools            Microsoft.AzureFunctionsCoreTools   3.0.2534
Azure Storage Emulator                Microsoft.AzureStorageEmulator      5.10.19227.2113
Azure Storage Explorer                Microsoft.AzureStorageExplorer      1.14.0
Bot Framework Composer                Microsoft.BotFrameworkComposer      1.0.1
Bot Framework Emulator                Microsoft.BotFrameworkEmulator      4.9.0
ConfigMgrToolkit                      Microsoft.ConfigMgrToolkit          5.00.7958.1151
DirectX End-User Runtime Web Insta... Microsoft.DirectX                   9.29.1974
Microsoft Edge                        Microsoft.Edge                      83.0.478.45
Microsoft Edge Beta                   Microsoft.EdgeBeta                  84.0.522.15
Microsoft Edge Dev                    Microsoft.EdgeDev                   85.0.538.0
MicrosoftGitCredentialManagerforWi... Microsoft.GitCredentialManagerfo... 1.20.0
Ironpython 2                          Microsoft.Ironpython2               2.7.9
MSIX Core                             Microsoft.MSIXCore                  1.1.0.0
Microsoft Garage Mouse without Bor... Microsoft.MouseWithoutBorder        6.5.8
Mouse and Keyboard Center             Microsoft.MouseandKeyboardCenter    12.181.137.0
Multilingual App Toolkit              Microsoft.MultilingualAppToolkit    4.0.0.0
OneDrive                              Microsoft.OneDrive                  20.084.0426.0006
PowerBI Desktop                       Microsoft.PowerBI                   2.81.5831.621
PowerShell                            Microsoft.PowerShell                7.0.2
PowerShell-Preview                    Microsoft.PowerShell-Preview        7.1.0-preview.3
PowerToys                             Microsoft.PowerToys                 0.19.0
Microsoft R Open                      Microsoft.ROpen                     3.5.3
SQL Server Management Studio          Microsoft.SQLServerManagementStudio 18.5.1
SharePoint Online Management Shell    Microsoft.SharePointOnlineManage... 16.0.20017.12000
Skype                                 Microsoft.Skype                     8.60.0.76
Microsoft Teams                       Microsoft.Teams                     1.3.0.4461
Windows 10 Update Assistant           Microsoft.UpdateAssistant           1.4.9200.23072
Microsoft Visual C++ 2005 SP1 Redi... Microsoft.VC++2005Redist-x64        8.0.61000
Microsoft Visual C++ 2005 Redistri... Microsoft.VC++2005Redist-x86        8.0.61001
Microsoft Visual C++ 2008 SP1 Redi... Microsoft.VC++2008Redist-x64        9.0.30729.6161
Microsoft Visual C++ 2008 Redistri... Microsoft.VC++2008Redist-x86        9.0.30729.6161
Microsoft Visual C++ 2010 SP1 Redi... Microsoft.VC++2010Redist-x64        10.0.40219.1
Microsoft Visual C++ 2010 SP1 Redi... Microsoft.VC++2010Redist-x86        10.0.40219.1
Microsoft Visual C++ 2012 Redistri... Microsoft.VC++2012Redist-x64        11.0.61030
